"Canton";"Vehicle group / type";"Year of first registration";"Fuel";"2021"
"Luzern";"> Motorcycles";"1980 - 1989";"Electricity";1
"Luzern";"> Motorcycles";"1990 - 1999";"Electricity";29
"Luzern";"> Motorcycles";"2000 - 2004";"Electricity";5
"Luzern";"> Motorcycles";"2005 - 2009";"Electricity";9
"Luzern";"> Motorcycles";"2010 - 2014";"Electricity";143
"Luzern";"> Motorcycles";"2015";"Electricity";26
"Luzern";"> Motorcycles";"2016";"Electricity";34
"Luzern";"> Motorcycles";"2017";"Electricity";27
"Luzern";"> Motorcycles";"2018";"Electricity";41
"Luzern";"> Motorcycles";"2019";"Electricity";49
"Luzern";"> Motorcycles";"2020";"Electricity";77
"Luzern";"> Motorcycles";"2021";"Electricity";76
"Luzern";"> Motorcycles";"Unknown";"Electricity";0
"Uri";"> Passenger cars";"Before 1960";"Electricity";0
"Uri";"> Passenger cars";"1960 - 1979";"Electricity";0
"Uri";"> Passenger cars";"1980 - 1989";"Electricity";0
"Uri";"> Passenger cars";"1990 - 1999";"Electricity";0
"Uri";"> Passenger cars";"2000 - 2004";"Electricity";0
"Uri";"> Passenger cars";"2005 - 2009";"Electricity";0
"Uri";"> Passenger cars";"2010 - 2014";"Electricity";16
"Uri";"> Passenger cars";"2015";"Electricity";10
"Uri";"> Passenger cars";"2016";"Electricity";4
"Uri";"> Passenger cars";"2017";"Electricity";18
"Uri";"> Passenger cars";"2018";"Electricity";11
"Uri";"> Passenger cars";"2019";"Electricity";27
"Uri";"> Passenger cars";"2020";"Electricity";43
"Uri";"> Passenger cars";"2021";"Electricity";60
"Uri";"> Passenger cars";"Unknown";"Electricity";0
"Uri";"> Motorcycles";"Before 1960";"Electricity";0
"Uri";"> Motorcycles";"1960 - 1979";"Electricity";0
"Uri";"> Motorcycles";"1980 - 1989";"Electricity";0
"Uri";"> Motorcycles";"1990 - 1999";"Electricity";0
"Uri";"> Motorcycles";"2000 - 2004";"Electricity";0
"Uri";"> Motorcycles";"2005 - 2009";"Electricity";0
"Uri";"> Motorcycles";"2010 - 2014";"Electricity";13
"Uri";"> Motorcycles";"2015";"Electricity";0
"Uri";"> Motorcycles";"2016";"Electricity";11
"Uri";"> Motorcycles";"2017";"Electricity";1
"Uri";"> Motorcycles";"2018";"Electricity";1
"Uri";"> Motorcycles";"2019";"Electricity";5
"Uri";"> Motorcycles";"2020";"Electricity";8
"Uri";"> Motorcycles";"2021";"Electricity";4
"Uri";"> Motorcycles";"Unknown";"Electricity";0
"Schwyz";"> Passenger cars";"Before 1960";"Electricity";0
"Schwyz";"> Passenger cars";"1960 - 1979";"Electricity";0
"Schwyz";"> Passenger cars";"1980 - 1989";"Electricity";0
"Schwyz";"> Passenger cars";"1990 - 1999";"Electricity";1
"Schwyz";"> Passenger cars";"2000 - 2004";"Electricity";0
"Schwyz";"> Passenger cars";"2005 - 2009";"Electricity";1
"Schwyz";"> Passenger cars";"2010 - 2014";"Electricity";98
"Schwyz";"> Passenger cars";"2015";"Electricity";83
"Schwyz";"> Passenger cars";"2016";"Electricity";92
"Schwyz";"> Passenger cars";"2017";"Electricity";133
"Schwyz";"> Passenger cars";"2018";"Electricity";156
"Schwyz";"> Passenger cars";"2019";"Electricity";316
"Schwyz";"> Passenger cars";"2020";"Electricity";425
"Schwyz";"> Passenger cars";"2021";"Electricity";425
"Schwyz";"> Passenger cars";"Unknown";"Electricity";0
"Schwyz";"> Motorcycles";"Before 1960";"Electricity";0
"Schwyz";"> Motorcycles";"1960 - 1979";"Electricity";0
"Schwyz";"> Motorcycles";"1980 - 1989";"Electricity";0
"Schwyz";"> Motorcycles";"1990 - 1999";"Electricity";3
"Schwyz";"> Motorcycles";"2000 - 2004";"Electricity";2
"Schwyz";"> Motorcycles";"2005 - 2009";"Electricity";4
"Schwyz";"> Motorcycles";"2010 - 2014";"Electricity";71
"Schwyz";"> Motorcycles";"2015";"Electricity";16
"Schwyz";"> Motorcycles";"2016";"Electricity";7
"Schwyz";"> Motorcycles";"2017";"Electricity";9
"Schwyz";"> Motorcycles";"2018";"Electricity";17
"Schwyz";"> Motorcycles";"2019";"Electricity";20
"Schwyz";"> Motorcycles";"2020";"Electricity";50
"Schwyz";"> Motorcycles";"2021";"Electricity";41
"Schwyz";"> Motorcycles";"Unknown";"Electricity";0
"Obwalden";"> Passenger cars";"Before 1960";"Electricity";0
"Obwalden";"> Passenger cars";"1960 - 1979";"Electricity";0
"Obwalden";"> Passenger cars";"1980 - 1989";"Electricity";0
"Obwalden";"> Passenger cars";"1990 - 1999";"Electricity";0
"Obwalden";"> Passenger cars";"2000 - 2004";"Electricity";0
"Obwalden";"> Passenger cars";"2005 - 2009";"Electricity";0
"Obwalden";"> Passenger cars";"2010 - 2014";"Electricity";23
"Obwalden";"> Passenger cars";"2015";"Electricity";17
"Obwalden";"> Passenger cars";"2016";"Electricity";16
"Obwalden";"> Passenger cars";"2017";"Electricity";25
"Obwalden";"> Passenger cars";"2018";"Electricity";26
"Obwalden";"> Passenger cars";"2019";"Electricity";47
"Obwalden";"> Passenger cars";"2020";"Electricity";79
